"last_name, first_name","player_id","year","player_age","ab","pa","hit","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_game","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","popups_percent","sprint_speed"
"Anderson, Brian","605119","2022","29","338","383","75","101","37",26.4,9.7,".222",".346",".311","0.657","0","1","98","88.7","7.7",31.1,9.7,4.2,42,"100.372461008","94.372032152",30.4,50.7,38.7,36.1,25.2,5,"27.5"
"Barnes, Austin","605131","2022","32","179","212","38","37","27",17.5,12.7,".212",".380",".324","0.704","1","2","62","87.4","13.6",31,4.8,5.5,35.2,"98.048094085","93.029970704",17.9,42.1,33.8,35.2,31,7.6,"26.7"
"Bell, Josh","605137","2022","29","552","647","147","102","81",15.8,12.5,".266",".422",".362","0.784","1","0","156","88.9","8.4",30.7,7.2,3.7,40.8,"100.551357456","94.511584791",21.7,45.3,37.1,35.7,27.2,5.7,"26.2"
"Betts, Mookie","605141","2022","29","572","639","154","104","55",16.3,8.6,".269",".533",".340","0.873","2","12","142","90.5","18.6",36.2,9.7,8.7,44.9,"99.954466043","94.497072751",16.5,44.2,44.3,34.5,21.2,7.6,"27.4"
"Caratini, Victor","605170","2022","28","272","314","54","67","31",21.3,9.9,".199",".342",".300","0.642","0","0","95","89.4","6.6",30,6.3,5.3,43.5,"100.649286408","94.496842039",20.9,42.3,33.8,38.6,27.5,4.8,"24.9"
"Davis, J.D.","605204","2022","29","318","365","79","122","39",33.4,10.7,".248",".418",".340","0.758","1","1","115","92.4","12.3",34.8,16.2,5.6,56.1,"103.966730202","96.76614",37.5,51.3,35.9,38.9,25.3,6.1,"26.5"
"Garcia, Aramis","605244","2022","29","108","115","23","34","3",29.6,2.6,".213",".259",".248","0.507","1","0","47","87.5","19.6",35.5,2.6,6.6,36.8,"98.567163784","93.291404595",30.8,52.1,36.8,42.1,21.1,11.8,"26.0"
"Machín, Vimael","605353","2022","28","223","253","49","47","25",18.6,9.9,".220",".287",".300","0.587","1","1","73","89.3","10.2",36.3,3.9,7.3,39.1,"98.588009667","93.53259419",17.9,44.7,29.6,40.2,30.2,2.2,"25.7"
"Pérez, Michael","605421","2022","29","121","132","18","32","10",24.2,7.6,".149",".298",".214","0.512","0","1","45","88.8","18.3",35.6,7.8,8.9,36.7,"98.192780667","93.304814719",28.4,44.3,45.6,30,24.4,10,"24.5"
"Thomas, Dillon","605504","2022","29","11","14","1","6","2",42.9,14.3,".091",".091",".286","0.377","0","0","8","82.9","-5.7",0,0,0,40,"95.55225","93.185412",45,42.6,40,40,20,0,"24.7"
"Zimmer, Bradley","605548","2022","29","105","117","13","45","5",38.5,4.3,".124",".229",".207","0.436","2","3","109","87","10.5",21.3,11.5,1.6,34.4,"99.040262143","93.699233818",38.3,51.7,31.1,39.3,29.5,4.9,"29.3"
"Castro, Harold","605612","2022","28","420","443","114","79","17",17.8,3.8,".271",".381",".300","0.681","1","0","120","87","11.4",41.6,6.1,7.8,33.3,"97.109259586","92.622759201",20,53.7,32.7,35,32.4,2.6,"26.3"
"Quiroz, Esteban","606019","2022","30","40","47","11","9","4",19.1,8.5,".275",".275",".370","0.645","1","1","14","81.6","11.3",43.8,3.1,3.1,28.1,"94.728799333","91.473812667",22.5,43.2,34.4,28.1,37.5,6.3,"25.0"
"Arcia, Orlando","606115","2022","27","209","234","51","51","21",21.8,9,".244",".416",".316","0.732","0","0","67","90.7","11.7",30,7.5,8.1,42.5,"100.210780633","94.636873734",27.3,44.7,41.9,36.3,21.9,5.6,"26.4"
"Tapia, Raimel","606132","2022","28","411","433","109","81","16",18.7,3.7,".265",".380",".292","0.672","2","8","128","87.6","4",27.5,5.1,3.3,38,"99.701438303","93.926071212",21.5,55.4,30.8,39.8,29.3,3.6,"28.2"
"Aquino, Aristides","606157","2022","28","259","276","51","101","17",36.6,6.2,".197",".363",".246","0.609","3","2","80","85.6","17.4",27.2,8.2,1.9,34.6,"99.168037143","93.584018571",37.9,56.6,45.6,32.3,22.2,15.8,"28.7"
"Hernández, Teoscar","606192","2022","29","499","535","133","152","34",28.4,6.4,".267",".491",".316","0.807","3","6","131","92.6","11.6",36.3,15,7.5,53.3,"103.420419483","96.496717867",35.1,48.8,38.6,34.9,26.5,5.2,"28.6"
"Mercedes, Yermín","606213","2022","29","73","83","17","17","9",20.5,10.8,".233",".342",".325","0.667","0","0","31","87.5","25.3",42.9,7.1,3.6,28.6,"97.540917857","92.781276429",23.3,49.9,32.1,39.3,28.6,14.3,"25.8"
"Marte, Ketel","606466","2022","28","492","558","118","101","55",18.1,9.9,".240",".407",".321","0.728","1","5","137","90.1","13.5",31.6,6.1,5.8,41.9,"101.202754619","94.845027056",20.7,46.1,42.7,35.6,21.7,7.1,"27.0"
"Haase, Eric","606992","2022","29","323","351","82","97","24",27.6,6.8,".254",".443",".305","0.748","0","0","110","87.7","17",32.3,8.7,7.9,42.4,"100.507001491","94.311526476",32.8,51.4,41.9,33.2,24.9,10,"27.9"
"Hager, Jake","606993","2022","29","50","59","12","17","8",28.8,13.6,".240",".280",".345","0.625","0","0","28","80.8","13.9",32.4,5.9,0,17.6,"94.036659333","91.089237667",29.5,46.9,35.3,50,14.7,8.8,"27.1"
"Nimmo, Brandon","607043","2022","29","580","673","159","116","71",17.2,10.5,".274",".433",".367","0.800","2","3","151","89.4","6.1",28.1,7,3.6,39.8,"100.251301732","94.354698482",19.6,43.8,29.6,41.5,28.9,6,"28.6"
"Peterson, Jace","607054","2022","32","288","328","68","85","33",25.9,10.1,".236",".382",".316","0.698","1","12","112","88.6","9.7",33.7,7.2,5.3,36.1,"98.360158137","93.264631576",26.7,40.9,38.9,38.5,22.6,2.9,"28.5"
"Turner, Trea","607208","2022","29","652","708","194","131","45",18.5,6.4,".298",".466",".343","0.809","3","27","160","88.9","10.2",35.3,7.6,6.5,41.6,"100.188198893","94.238854962",26.3,51.2,41.4,34.7,23.9,5.7,"30.3"
"Krizan, Jason","607249","2022","33","8","10","1","3","2",30,20,".125",".125",".300","0.425","0","0","3","94.5","9.2",40,0,0,40,"99.114206667","95.339044",15.4,31.7,40,20,40,0,
"Beaty, Matt","607461","2022","29","43","47","4","8","2",17,4.3,".093",".163",".170","0.333","0","0","20","83.6","10.5",22.9,0,8.6,31.4,"96.810826667","92.643656286",16,42.4,40,34.3,25.7,11.4,"26.8"
"Pillar, Kevin","607680","2022","33","12","13","1","4","1",30.8,7.7,".083",".167",".154","0.321","0","0","4","88.2","10.7",25,12.5,12.5,25,"99.88945","94.372665",34.8,51.1,62.5,25,12.5,0,"27.1"
